elevation,pps
227,POINT (40.25625 48.085416666666667)
227,POINT (40.25625 48.085694444444449)
229,POINT (40.25625 48.085972222222225)
232,POINT (40.25625 48.08625)
233,POINT (40.25625 48.086527777777782)
231,POINT (40.25625 48.086805555555557)
230,POINT (40.25625 48.087083333333332)
230,POINT (40.25625 48.087361111111115)
230,POINT (40.25625 48.08763888888889)
230,POINT (40.25625 48.087916666666672)
230,POINT (40.25625 48.088194444444447)
227,POINT (40.25625 48.088472222222222)
227,POINT (40.25625 48.088750000000005)
225,POINT (40.25625 48.08902777777778)
228,POINT (40.25625 48.089305555555555)
226,POINT (40.25625 48.089583333333337)
226,POINT (40.25625 48.089861111111112)
226,POINT (40.25625 48.090138888888895)
226,POINT (40.25625 48.09041666666667)
223,POINT (40.25625 48.090694444444445)
221,POINT (40.25625 48.090972222222227)
221,POINT (40.25625 48.09125)
221,POINT (40.25625 48.091527777777777)
221,POINT (40.25625 48.09180555555556)
222,POINT (40.25625 48.092083333333335)
223,POINT (40.25625 48.09236111111111)
220,POINT (40.25625 48.092638888888892)
219,POINT (40.25625 48.092916666666667)
217,POINT (40.25625 48.09319444444445)
218,POINT (40.25625 48.093472222222225)
219,POINT (40.25625 48.09375)
220,POINT (40.25625 48.094027777777782)
221,POINT (40.25625 48.094305555555557)
220,POINT (40.25625 48.094583333333333)
216,POINT (40.256527777777777 48.082083333333337)
214,POINT (40.256527777777777 48.082361111111112)
214,POINT (40.256527777777777 48.082638888888894)
214,POINT (40.256527777777777 48.082916666666669)
216,POINT (40.256527777777777 48.083194444444445)
216,POINT (40.256527777777777 48.083472222222227)
216,POINT (40.256527777777777 48.08375)
219,POINT (40.256527777777777 48.084027777777777)
223,POINT (40.256527777777777 48.084305555555559)
224,POINT (40.256527777777777 48.084583333333335)
225,POINT (40.256527777777777 48.084861111111117)
227,POINT (40.256527777777777 48.085138888888892)
226,POINT (40.256527777777777 48.085416666666667)
226,POINT (40.256527777777777 48.085694444444449)
230,POINT (40.256527777777777 48.085972222222225)
231,POINT (40.256527777777777 48.08625)
232,POINT (40.256527777777777 48.086527777777782)
231,POINT (40.256527777777777 48.086805555555557)
231,POINT (40.256527777777777 48.087083333333332)
230,POINT (40.256527777777777 48.087361111111115)
226,POINT (40.256527777777777 48.08763888888889)
228,POINT (40.256527777777777 48.087916666666672)
